model,roc_auc,pr_auc,accuracy,precision,recall,f1
XGBoost,0.7833145274421144,0.5629094286431221,0.7541666666666667,0.45965103598691387,0.6352675207234363,0.5333755140778235
Random Forest,0.7783940870859243,0.5551957269058377,0.7613333333333333,0.47001713306681897,0.6201959306706858,0.5347628330084471
Logistic Regression,0.759099033054129,0.5183775124920964,0.7428333333333333,0.4405940594059406,0.6036171816126601,0.5093799682034976
SVM,0.7545664289281642,0.4792515838314767,0.7491666666666666,0.4491428571428571,0.5923134890730972,0.5108872278193045
Gaussian Naive Bayes,0.7189616116312811,0.4809759722097508,0.7321666666666666,0.4201824401368301,0.5553880934438583,0.4784160986692632
